metier_actuel;article_source;compte_actuel;motif_pdf;reclassement_recommande
transport;Forfait Client B&You 260Go 5G;6062;service telecom abonnement;charges_externes/telecom_et_abonnements
transport;Communications vers l'international;6062;service telecom communication;charges_externes/telecom_et_abonnements
transport;Forfait Client B&You 230Go;6062;service telecom abonnement;charges_externes/telecom_et_abonnements
transport;Forfait Spécial client 350Go 5G Av. smartphone;6061;service telecom abonnement;charges_externes/telecom_et_abonnements
transport;Solutions Sécurité Smartphone avec Norton;6061;service logiciel/securite;charges_externes/telecom_et_abonnements
transport;Avantage Internet 60Go;606100;service telecom internet;charges_externes/telecom_et_abonnements
transport;Forfait Sensation 150Go 5G Avantages Smartphone;6061;service telecom abonnement;charges_externes/telecom_et_abonnements
transport;Option multi-SIM Internet;6062;service telecom option;charges_externes/telecom_et_abonnements
transport;Avantage Internet 80Go;6061;service telecom internet;charges_externes/telecom_et_abonnements
transport;Bbox - location équipement (du 02/07 au 01/08);6062;service telecom/location equipement;charges_externes/telecom_et_abonnements
transport;Bbox - location équipement (du 02/09 au 01/10);6062;service telecom/location equipement;charges_externes/telecom_et_abonnements
transport;Pack sécurité Norton;6062;service logiciel/securite;charges_externes/telecom_et_abonnements
transport;Multi-TV FTTH (du 02/07 au 01/08);6062;service telecom option;charges_externes/telecom_et_abonnements
transport;Multi-TV FTTH (du 02/09 au 01/10);6062;service telecom option;charges_externes/telecom_et_abonnements
transport;Option Week-end internet illimité;6062;service telecom option;charges_externes/telecom_et_abonnements
