file,item_index,article_source,old_account,new_account,confidence,top_votes,total_votes,source_invoice_ids
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1.json,6,HUILE TOURNESOL 1L x15 MAUREL,6062,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1 | fr_bd_519665103:18253df1-7756-45e6-a507-e571c6d48cde
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1.json,8,LAIT FERMENTE CHERGUI 10 X 1L,6061,607,1.00,2,2,fr_bd_519665103:196cca26-bc04-43f9-b988-6bdad87fbc56 | fr_bd_519665103:4dfa1f0d-13be-4459-8303-ef42102d4ad3 | fr_bd_519665103:bcb12536-25b0-47ae-b440-1ad4abeb6c2a
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1.json,15,OEUFS MOYENS BLANCS 10*30,6061,607,1.00,1,1,fr_bd_519665103:196cca26-bc04-43f9-b988-6bdad87fbc56
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1.json,16,OEUFS X30,6011,607,1.00,1,1,fr_bd_519665103:9f8cf7ab-4237-4cf1-b096-9c94e27ed18a
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1.json,20,SEL FIN BTE VERSEUSE 750GR X10,6062,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_restaurant_v1.json,2,HUILE TOURNESOL 1L x15 MAUREL,6010,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1 | fr_bd_519665103:18253df1-7756-45e6-a507-e571c6d48cde
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1_with_accounts.json,6,HUILE TOURNESOL 1L x15 MAUREL,6062,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1 | fr_bd_519665103:18253df1-7756-45e6-a507-e571c6d48cde
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1_with_accounts.json,8,LAIT FERMENTE CHERGUI 10 X 1L,6061,607,1.00,2,2,fr_bd_519665103:196cca26-bc04-43f9-b988-6bdad87fbc56 | fr_bd_519665103:4dfa1f0d-13be-4459-8303-ef42102d4ad3 | fr_bd_519665103:bcb12536-25b0-47ae-b440-1ad4abeb6c2a
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1_with_accounts.json,15,OEUFS MOYENS BLANCS 10*30,6061,607,1.00,1,1,fr_bd_519665103:196cca26-bc04-43f9-b988-6bdad87fbc56
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1_with_accounts.json,16,OEUFS X30,6011,607,1.00,1,1,fr_bd_519665103:9f8cf7ab-4237-4cf1-b096-9c94e27ed18a
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_boulangerie_v1_with_accounts.json,20,SEL FIN BTE VERSEUSE 750GR X10,6062,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1
C:\Users\Dell\Downloads\scripts-master\scripts-master\base_produits_restaurant_v1_with_accounts.json,2,HUILE TOURNESOL 1L x15 MAUREL,6010,607,1.00,1,1,fr_bd_519665103:07bd8534-6098-40a4-8bdf-d90d05a04de1 | fr_bd_519665103:18253df1-7756-45e6-a507-e571c6d48cde
