article_source,article_canonique,mots_cles,compte_comptable,taux_tva,categorie,sous_categorie,type_fournisseur,partitions_sources,contexte_ape,quasi_match_1_label,quasi_match_1_partition,quasi_match_1_ape,quasi_match_1_score,quasi_match_1_overlap,quasi_match_1_invoice_ids,quasi_match_2_label,quasi_match_2_partition,quasi_match_2_ape,quasi_match_2_score,quasi_match_2_overlap,quasi_match_2_invoice_ids
1PX COLLE POUDRE INT MAX30X30CM GRIS25KG,1px colle poudre int max30x30cm gris25kg,1px | colle | poudre | int | max30x30cm | gris25kg,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,BON STOCK SERVICE : 10X10 PLATOIR A COLLE INOX DENTS CARREES POIGNEE MONTURE PL,fr_bd_509118329,4120B,0.0,colle,fr_bd_509118329:e39d8bbb-dad7-46a0-817b-79612914e846,PRESTONETT FIN ENDUIT EN POUDRE POUR FINITION INTERIEURE SAC DE 25KG,fr_bd_509118329,4120B,0.0,poudre,fr_bd_509118329:ab253e2a-83ab-454d-aadf-0f06974fb505 | fr_bd_509118329:2606d31a-7e4b-43ea-bf89-614f17f8a194
1PX RAGREAGE POUDRE 3A10MM INT/EXT 25KG,1px ragreage poudre 3a10mm int ext 25kg,1px | ragreage | poudre | 3a10mm | int | ext,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,PRESTONETT FIN ENDUIT EN POUDRE POUR FINITION INTERIEURE SAC DE 25KG,fr_bd_509118329,4120B,0.2571,25kg | poudre,fr_bd_509118329:ab253e2a-83ab-454d-aadf-0f06974fb505 | fr_bd_509118329:2606d31a-7e4b-43ea-bf89-614f17f8a194,SUPERPLAN 5.5 25KG,fr_bd_509118329,4120B,0.0,25kg,fr_bd_509118329:ab253e2a-83ab-454d-aadf-0f06974fb505
5 SACS A GRAVATS 56X96CM TISSE 60L BLC,5 sacs a gravats 56x96cm tisse 60l blc,5 | sacs | gravats | 56x96cm | tisse | 60l,6068,20.0,exploitation_metier,emballage,fournisseur_materiaux,,4120A,PLT BLC PAC NU HAL 1.3KG*10 FR,fr_bd_509118329,4120B,0.0,blc,fr_bd_509118329:6b9350cb-4066-429d-8d1c-356d87ba67f6,SACS A GRAVATS TISSES POLYPROPYLENE 550X950MM - LOT DE 10,fr_bd_509118329,4120B,0.0,gravats,fr_bd_509118329:e598f645-32ee-4be3-99eb-d811fa87c652
JOINT AXTON EASY CHOCOLAT 2KG,joint axton easy chocolat 2kg,joint | axton | easy | chocolat | 2kg,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,BANDE A JOINT 150 ML,fr_bd_509118329,4120B,0.0,joint,fr_bd_509118329:364084be-1eea-4dcd-85ec-39c3700ddfd7,JOINT DE CULASSE,fr_bd_509118329,4120B,0.0,joint,fr_bd_509118329:b889ceb3-5a3f-4ccb-be1c-7d182f8c19a3
KIT POSE CARRELAGE,kit pose carrelage,kit | pose | carrelage,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,KIT INSTALLATION DOUCHE 1M1O,fr_bd_509118329,4120B,0.0,kit,fr_bd_509118329:d32ecec0-a2ae-4f6b-983e-07ca89c40b28,SOLEI CARRELAGE MURAL CXLEAVE 17.8X62.8 IVORY 1.56M,fr_bd_879788230,4399C,0.0,carrelage,fr_bd_879788230:b5baa601-cb49-4b2c-b5b3-37be470c61dc
KIT100AUTONIVELANT CROIS CALE 1.5MM DXTR,kit100autonivelant crois cale 1 5mm dxtr,kit100autonivelant | crois | cale | 1 | 5mm | dxtr,6068,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,,4120A,"Equerre nervurée droite et á pan coupé acier galvanisé 85x71,5x30mm épaisseur 1,5mm",fr_bd_879788230,4399C,0.0,5mm,fr_bd_879788230:81ccffa0-ac12-48dd-b688-bb62e9fc2e80,,,,,,
MALAXEUR PEINTDEXTER 500X90 EX8 PERCEUSE,malaxeur peintdexter 500x90 ex8 perceuse,malaxeur | peintdexter | 500x90 | ex8 | perceuse,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,,,,,,,,,,,,
PRIMAIRE AXTON INTERIEUR SEC EN 2-4H 4L,primaire axton interieur sec en 2 4h 4l,primaire | axton | interieur | sec | 2 | 4h,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,4120A,GANTS MANUTENTION DE PRECISION MILIEU SEC TAILLE 1O LOT DE 1O PAIRES,fr_bd_509118329,4120B,0.0,sec,fr_bd_509118329:fec85b5e-68a8-4d84-97f9-821d1497ae0b,PRESTONETT REBOUCHEUR INTERIEUR 5 KG,fr_bd_509118329,4120B,0.0,interieur,fr_bd_509118329:93b16842-da99-4236-8287-11e7c9f184f7
ROUL ACIER MUR PLAF LISSE DEXTER180MM,roul acier mur plaf lisse dexter180mm,roul | acier | mur | plaf | lisse | dexter180mm,6068,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,,4120A,CORNIERE ACIER LAMINE H.30X L.30X EP.3MM,fr_bd_509118329,4120B,0.0,acier,fr_bd_509118329:e5b4621c-4ee4-4062-bdf5-4b580b3e12cc,"Equerre nervurée droite et á pan coupé acier galvanisé 85x71,5x30mm épaisseur 1,5mm",fr_bd_879788230,4399C,0.0,acier,fr_bd_879788230:81ccffa0-ac12-48dd-b688-bb62e9fc2e80
"COFFRAGE, SCIAGE, PONCAGE.",coffrage sciage poncage,coffrage | sciage | poncage,606,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
