article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
PILON DE POULET HALAL UE,pilon de poulet halal ue,384,411,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CUISSE DE POULET HALAL UE,cuisse de poulet halal ue,306,310,6011,False,fr_bd_828612630 | fr_bd_837602275
POULET FERMIER JAUNE PAC HALAL,poulet fermier jaune pac halal,290,338,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CORDON BLEU DE POULET AUTHENTIC HALAL,cordon bleu de poulet authentic halal,288,331,6011,False,fr_bd_828612630 | fr_bd_837602275
FOIE DE VEAU,foie de veau,229,293,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CUISSEAU DE VEAU,cuisseau de veau,212,333,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FOIE DE POULET HALAL,foie de poulet halal,211,211,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
POMME DE TERRE GRATIN DAUPHINOIS,pomme de terre gratin dauphinois,208,209,6011,False,fr_bd_828612630 | fr_bd_837602275
FRESSURE DE MOUTON CARCASSE ABATS,fressure de mouton carcasse abats,202,248,6011,False,fr_bd_837602275
FOIE DE VEAU CARCASSE ABATS,foie de veau carcasse abats,195,233,6011,False,fr_bd_837602275
BASSE COTE,basse cote,194,197,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
POITRINE DE VEAU,poitrine de veau,184,207,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
POULET FERMIER BIO PAC HALAL,poulet fermier bio pac halal,183,188,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PANÉ DE VOLAILLE HALAL UE MILANESE,pane de volaille halal ue milanese,177,183,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CUISSE DE DINDE HALAL,cuisse de dinde halal,166,166,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FRESSURE DE MOUTON,fressure de mouton,165,227,6011,False,fr_bd_837602275
CORDON BLEU PLT AUTHENTIC HALAL,cordon bleu plt authentic halal,164,192,6011,False,fr_bd_828612630 | fr_bd_837602275
TENDER CE HALAL,tender ce halal,164,165,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CUISSE DE POULET HALAL,cuisse de poulet halal,146,151,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
RUMSTEACK BLANC BLEU BELGE,rumsteack blanc bleu belge,144,266,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CREPINE DE VEAU,crepine de veau,144,168,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
RUMSTEACK BLANC BLEU BELGE VIANDE HALLAL,rumsteack blanc bleu belge viande hallal,136,279,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
DONUT DE FILET DE POULET,donut de filet de poulet,135,136,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PIED DE VEAU,pied de veau,132,167,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
