article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
CUISSE DE POULET FERMIER HALAL,cuisse de poulet fermier halal,211,314,6011,False,fr_bd_519665103
BASSE SANS POITRINE DE VEAU,basse sans poitrine de veau,184,247,6011,False,fr_bd_519665103
FILET DE POULET FERMIER HALAL,filet de poulet fermier halal,167,167,6011,False,fr_bd_519665103
COQUELET HALAL,coquelet halal,159,162,6011,False,fr_bd_519665103
CUISSE POULET HALAL CEE 10KG,cuisse poulet halal cee 10kg,135,135,6011,False,fr_bd_519665103
POULET PAC HALAL,poulet pac halal,130,180,6011,False,fr_bd_519665103
POULET FERMIER HALAL PAC,poulet fermier halal pac,124,149,6011,False,fr_bd_519665103
FILET DE POULET HALAL CEE,filet de poulet halal cee,116,116,6011,False,fr_bd_519665103
CARRE DE VEAU SANS ROGNONS,carre de veau sans rognons,109,122,6011,False,fr_bd_519665103
FILET DE DINDE HALAL,filet de dinde halal,107,107,6011,False,fr_bd_519665103
FILET DE POULET HALAL UE,filet de poulet halal ue,103,103,6011,False,fr_bd_519665103
CUISSE DE POULET HALAL UE 10KG,cuisse de poulet halal ue 10kg,96,101,6011,False,fr_bd_519665103
CRISTALI 50CL PET,cristali 50cl pet,93,93,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
PILONS DE POULET ID HALAL,pilons de poulet id halal,90,92,6011,False,fr_bd_519665103
CHICKEN WINGS HALAL,chicken wings halal,89,92,6011,False,fr_bd_519665103
CRISTALINE 50CL P/24,cristaline 50cl p 24,78,92,6068,False,fr_bd_880517875
POMME DE TERRE GRENAILLE,pomme de terre grenaille,78,79,6011,False,fr_bd_519665103
SPICY HALAL,spicy halal,78,78,6011,False,fr_bd_519665103
FOIE DE POULET CEE HALAL,foie de poulet cee halal,76,76,6011,False,fr_bd_519665103
FOIE DE POULET HALAL UE,foie de poulet halal ue,76,76,6011,False,fr_bd_519665103
OEUF COQUILLE TEINTE GROS 63/73 CT 360,oeuf coquille teinte gros 63 73 ct 360,75,75,6011,False,fr_bd_890233000
