article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
CUISSE POULET HALAL *10 KG BELGE,cuisse poulet halal 10 kg belge,130,150,6011,False,fr_bd_903252617
AILE POULET HALAL BLANC BELGE,aile poulet halal blanc belge,89,94,6011,False,fr_bd_903252617
PILON POULET HALAL VRAC BELGE,pilon poulet halal vrac belge,78,79,6011,False,fr_bd_903252617
FILET POULET HALAL*10 KG Roumanie,filet poulet halal 10 kg roumanie,76,85,6011,False,fr_bd_903252617
FOIE VOLAILLE HALAL BELGE,foie volaille halal belge,72,78,6011,False,fr_bd_903252617
FILET POULET HALAL*10 KG S/AT BELGE,filet poulet halal 10 kg s at belge,70,80,6011,False,fr_bd_903252617
ESCALOPE VOLAILLE MILANESE Halal ITALIEN,escalope volaille milanese halal italien,60,60,6011,False,fr_bd_903252617
CORDON BLEU VOLAILLE HALAL 1000G S/AT,cordon bleu volaille halal 1000g s at,48,48,6011,False,fr_bd_903252617
POULET Label Rouge HALAL,poulet label rouge halal,44,46,6011,False,fr_bd_903252617
FILET DINDE HALAL Import,filet dinde halal import,41,42,6011,False,fr_bd_903252617
CUISSE POULET Label Rouge Halal Blanche,cuisse poulet label rouge halal blanche,40,43,6011,False,fr_bd_903252617
FILET DINDE HALAL *10 KG FRANCE,filet dinde halal 10 kg france,40,41,6011,False,fr_bd_903252617
Gazole,gazole,32,35,6061,False,fr_bd_509118329 | fr_bd_792041840 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_903252617 | fr_bd_951421064
Carburant GO,carburant go,28,28,606300,False,fr_bd_903252617 | fr_bd_951421064
Carburant,carburant,27,27,6063,False,fr_bd_509118329 | fr_bd_792041840 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_903252617
DIESEL,diesel,22,22,6068,False,fr_bd_844858571 | fr_bd_903252617 | fr_bd_951421064
POULET PAC HALAL 1200G,poulet pac halal 1200g,21,22,6011,False,fr_bd_903252617
PILON POULET HALAL FRANCE,pilon poulet halal france,18,19,6011,False,fr_bd_903252617
POULET PAC HALAL 1300G,poulet pac halal 1300g,18,19,6011,False,fr_bd_903252617
Remise,remise,17,17,60970000,False,fr_bd_823981568 | fr_bd_844858571
Utilisateur standard,utilisateur standard,17,17,606100,False,fr_bd_844858571
CUISSE POULET DesOsse*10 KG BELGE,cuisse poulet desosse 10 kg belge,15,17,6011,False,fr_bd_903252617
CUISSE DINDE HALAL,cuisse dinde halal,15,16,6011,False,fr_bd_903252617
CUISSE POULET Label Rouge Halal JAUNE,cuisse poulet label rouge halal jaune,14,15,6011,False,fr_bd_903252617
Béton pompé,beton pompe,14,14,604,False,fr_bd_903252617
"COFFRAGE, SCIAGE, PONCAGE.",coffrage sciage poncage,14,14,606,False,fr_bd_903252617
Mise à disposition,mise a disposition,14,14,606200,False,fr_bd_903252617
COULAGE PLANCHER,coulage plancher,13,20,6063,False,fr_bd_903252617
FILET POULET*5KG BELGE,filet poulet 5kg belge,12,13,6011,False,fr_bd_903252617
POULET PAC HALAL,poulet pac halal,12,13,6011,False,fr_bd_903252617
SURFAQUARTZ GRIS NATUREL,surfaquartz gris naturel,10,10,60610000,False,fr_bd_903252617
COULAGE PLANCHER finition brut,coulage plancher finition brut,9,24,6063,False,fr_bd_903252617
GazoleB8,gazoleb8,9,9,606300,False,fr_bd_903252617
PILON POULET HALAL VRAC BELGE - Origine Belgique,pilon poulet halal vrac belge origine belgique,9,9,6011,False,fr_bd_903252617
Tuyaux,tuyaux,9,9,6063,False,fr_bd_903252617
Article non spécifié,article non specifie,8,14,606100,False,fr_bd_509118329 | fr_bd_844858571 | fr_bd_903252617
COLLIER BASSE COTE - ORIGINE:BELGIQUE - VACHE BLANC BLEU BELGE,collier basse cote origine belgique vache blanc bleu belge,8,10,6011,False,fr_bd_903252617
AGNEAU - ORIGINE:ROYAUME-UNI - AGNEAU MOINS DE 12 M - VIANDE HALLAL,agneau origine royaume uni agneau moins de 12 m viande hallal,8,8,6011,False,fr_bd_903252617
Béton pompé (en m3),beton pompe en m3,8,8,6061,False,fr_bd_903252617
CUISSE POULET HALAL *10 KG BELGE Origine:Belgique,cuisse poulet halal 10 kg belge origine belgique,8,8,601,False,fr_bd_903252617
Eco contribution,eco contribution,7,14,6068,False,fr_bd_842785719
COURONNE.250MM.COREX GR 16Q 68,couronne 250mm corex gr 16q 68,7,7,6063,False,fr_bd_903252617
Forfait 2h 100 Mo,forfait 2h 100 mo,7,7,606100,False,fr_bd_842785719
Offre Spéciale - Réduction sur la position 1,offre speciale reduction sur la position 1,7,7,606100,False,fr_bd_903252617
Repas,repas,7,7,606100,False,fr_bd_844858571 | fr_bd_879788230 | fr_bd_903252617
ECO-PART DEEE,eco part deee,6,12,60610000,False,fr_bd_509118329 | fr_bd_844858571 | fr_bd_903252617 | fr_bd_951421064
CUISSE POULET HALAL *10 KG BELGE Origine France N abattoir 89.069.001,cuisse poulet halal 10 kg belge origine france n abattoir 89 069 001,6,7,6011,False,fr_bd_903252617
FILET POULET HALAL * 10 KG S/AT BELGE Origine : Belgique,filet poulet halal 10 kg s at belge origine belgique,6,7,6011,False,fr_bd_903252617
Avantage SFR Family! - Contrôle parental,avantage sfr family controle parental,6,6,606100,False,fr_bd_842785719
COULAGE DALLAGE finition hélicoptére,coulage dallage finition helicoptere,6,6,6063,False,fr_bd_903252617
"E-Services (Espace client, Bilan annuel, Auto-relevé)",e services espace client bilan annuel auto releve,6,6,6061,False,fr_bd_903252617
Forfait 150 Go 5G,forfait 150 go 5g,6,6,606100,False,fr_bd_842785719
IT-Livanto OL,it livanto ol,6,6,60610000,False,fr_bd_844858571
Mise a disposition d'une Pompe Béton (FORFAIT),mise a disposition d une pompe beton forfait,6,6,6063,False,fr_bd_903252617
POULET PAC HALAL 1200G - Origine:France - N°abattoir:44.003.002,poulet pac halal 1200g origine france n abattoir 44 003 002,6,6,601,False,fr_bd_903252617
