article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
GARDE - GARDE,garde garde,473,473,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Livraison,livraison,263,264,622600,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_823981568 | fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_888020088 | fr_bd_890233000 | fr_bd_929728467 | fr_bd_931589238 | fr_bd_952061570
Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),indemnite forfaitaire frais de recouvrement 40 eur article d4415 code du commerce,207,207,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_828612630 | fr_bd_837602275
GARDE,garde,193,201,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Commission sur vente EQUIPE SEM,commission sur vente equipe sem,192,192,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
RSD - RSD,rsd rsd,175,175,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
IBAUF - Interbev Boeuf AM,ibauf interbev boeuf am,167,167,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Commission sur vente LeParisien,commission sur vente leparisien,163,163,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Commission sur vente LP DIM,commission sur vente lp dim,156,156,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
IBAFF - Interbev Boeuf AM,ibaff interbev boeuf am,155,155,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
