article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
POULET PAC HALAL,poulet pac halal,87,136,6011,False,fr_bd_891370595
Tiramisu Choco-nut,tiramisu choco nut,87,102,601,False,fr_bd_891370595
Diplomate Fraise,diplomate fraise,85,97,601,False,fr_bd_891370595
SAUCISSE WUDY XXL HALAL,saucisse wudy xxl halal,81,90,6011,False,fr_bd_891370595
Tiramisu Caramel Beurre-salé,tiramisu caramel beurre sale,75,90,601,False,fr_bd_891370595
Misu Coco-Rocher,misu coco rocher,64,72,6068,False,fr_bd_891370595
50 COUV BTE SALADE KRAFT GM,50 couv bte salade kraft gm,56,56,6063,False,fr_bd_952061570
CUISSE POULET HALAL CEE 10KG,cuisse poulet halal cee 10kg,56,56,6011,False,fr_bd_891370595
DONUTS FILET POULET,donuts filet poulet,55,59,6011,False,fr_bd_891370595
CAROTTE MC 5KG 20/40 GB40 FR C1france,carotte mc 5kg 20 40 gb40 fr c1france,55,55,601,False,fr_bd_891370595 | fr_bd_952061570
CUISSE DE POULET HALAL UE 10KG,cuisse de poulet halal ue 10kg,55,55,6011,False,fr_bd_891370595
DONUT DE FILET DE POULET,donut de filet de poulet,54,57,6011,False,fr_bd_891370595
FILET DE POULET HALAL UE,filet de poulet halal ue,54,54,6011,False,fr_bd_891370595
COCACOLA BOITE SLIM 33CL,cocacola boite slim 33cl,53,53,6068,False,fr_bd_891370595 | fr_bd_952061570
PILONS DE POULET ID HALAL,pilons de poulet id halal,52,55,6011,False,fr_bd_891370595
FILET DE POULET HALAL CEE,filet de poulet halal cee,51,52,6011,False,fr_bd_891370595
CRISTALI 50CL PET,cristali 50cl pet,51,51,6068,False,fr_bd_891370595 | fr_bd_952061570
PILON DE POULET ID HALAL,pilon de poulet id halal,50,55,6011,False,fr_bd_891370595
MPRO BOBINE 2P 450F X6,mpro bobine 2p 450f x6,48,48,6063,False,fr_bd_891370595 | fr_bd_952061570
MERGUEZ BOEUF/AGN HALAL,merguez boeuf agn halal,42,43,6011,False,fr_bd_891370595
MERGUEZ DE BOEUF/AGN HALAL,merguez de boeuf agn halal,42,43,6011,False,fr_bd_891370595
AILE DE POULET 3 PHALANGES HALAL UE,aile de poulet 3 phalanges halal ue,42,42,6011,False,fr_bd_891370595
COCA COLA VC 33CL,coca cola vc 33cl,42,42,6068,False,fr_bd_952061570
OASIS TROPICAL SLIM BTE 33CL,oasis tropical slim bte 33cl,42,42,6068,False,fr_bd_891370595 | fr_bd_952061570
AILES DE POULET 3 PHALANGES HALAL CEE,ailes de poulet 3 phalanges halal cee,41,41,6011,False,fr_bd_891370595
MC PENNE RIGATE 5KG,mc penne rigate 5kg,41,41,6011,False,fr_bd_891370595
Tiramisu Toffee-Choc,tiramisu toffee choc,40,42,6068,False,fr_bd_891370595
MC OLIV.VERTES RONDELLE A10,mc oliv vertes rondelle a10,40,40,601,False,fr_bd_891370595
BOUCHERIE,boucherie,39,645,601,False,fr_bd_952061570
50 BTE SALADE KRAFT 1300ML,50 bte salade kraft 1300ml,38,38,6063,False,fr_bd_952061570
BOULE A PIZZA CRU 280GX35,boule a pizza cru 280gx35,36,36,601,False,fr_bd_929728467
BAV ALOY HAL UE,bav aloy hal ue,34,83,6011,False,fr_bd_891370595
MC OLIV.NOIRES RONDELLE A10,mc oliv noires rondelle a10,34,34,601,False,fr_bd_891370595
COEUR RTK 2.5KG+ HAL UE,coeur rtk 2 5kg hal ue,32,47,6011,False,fr_bd_891370595
CAISSE COCA 24X33CL PLEIN,caisse coca 24x33cl plein,32,46,6068,False,fr_bd_952061570
Montant total de la commande TTC,montant total de la commande ttc,32,32,606,False,fr_bd_929728467 | fr_bd_952061570
50 COUV BTE SALADE KRAFT PM,50 couv bte salade kraft pm,30,30,6063,False,fr_bd_952061570
HAWAI TROPICAL BOITE 33CL,hawai tropical boite 33cl,30,30,6068,False,fr_bd_891370595 | fr_bd_952061570
Contribution tarifaire d'acheminement (CTA),contribution tarifaire d acheminement cta,29,29,6061,False,fr_bd_891370595 | fr_bd_929728467 | fr_bd_952061570
TENDERS NATURE 1KG KFC HALAL,tenders nature 1kg kfc halal,29,29,601,False,fr_bd_929728467
CREME FRAICHE GRAND FERMAGE 5L 15%,creme fraiche grand fermage 5l 15,28,29,601,False,fr_bd_891370595 | fr_bd_929728467
COCA CHERRY 33CLx24 EU,coca cherry 33clx24 eu,28,28,6068,False,fr_bd_891370595 | fr_bd_929728467
COCA SANS SUCRES VC 33CL,coca sans sucres vc 33cl,28,28,6068,False,fr_bd_952061570
FUZETEA MENTH/CITRON VERT 33CL,fuzetea menth citron vert 33cl,28,28,6068,False,fr_bd_891370595
OASIS TROPICAL 33CL x 24,oasis tropical 33cl x 24,28,28,6068,False,fr_bd_891370595 | fr_bd_929728467
MPRO 250 SERV 2P BLC 40X40,mpro 250 serv 2p blc 40x40,27,27,6063,False,fr_bd_952061570
VIANDE HACHEE EGRENEE 4MM BOEUF ISLAM CONTROL 1KG,viande hachee egrenee 4mm boeuf islam control 1kg,27,27,601,False,fr_bd_929728467
PERRIER BOITE SLIM 33CL,perrier boite slim 33cl,26,27,6068,False,fr_bd_891370595
