article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
Gazole,gazole,71,71,6063,False,fr_bd_839181104 | fr_bd_888020088 | fr_bd_922040506
Forfait Client B&You 260Go 5G,forfait client b you 260go 5g,27,27,6062,False,fr_bd_839181104
Remise Forfait,remise forfait,23,23,6062,False,fr_bd_831060876 | fr_bd_839181104
Avantage client box,avantage client box,22,22,6061,False,fr_bd_831060876 | fr_bd_839181104
Achat non détaillé,achat non detaille,21,21,606800,False,fr_bd_839181104 | fr_bd_888020088
Carburant GO,carburant go,18,18,6063,False,fr_bd_839181104 | fr_bd_888020088
Carburant,carburant,17,17,6063,False,fr_bd_839181104 | fr_bd_888020088
Sacs,sacs,16,16,6068,False,fr_bd_888020088
BANANE DESSERT,banane dessert,15,15,6068,False,fr_bd_888020088
Communications vers l'international,communications vers l international,12,12,6062,False,fr_bd_831060876 | fr_bd_839181104
Forfait Client B&You 230Go,forfait client b you 230go,12,12,6062,False,fr_bd_839181104
REPAS,repas,12,12,606100,False,fr_bd_839181104
DIESEL,diesel,11,11,6063,False,fr_bd_839181104 | fr_bd_888020088
Forfait Spécial client 350Go 5G Av. smartphone,forfait special client 350go 5g av smartphone,11,11,6061,False,fr_bd_839181104
Solutions Sécurité Smartphone avec Norton,solutions securite smartphone avec norton,11,11,6061,False,fr_bd_831060876 | fr_bd_839181104
GO (Carburant),go carburant,10,10,6063,False,fr_bd_839181104 | fr_bd_888020088
Série Speciale B&YOU 200Go,serie speciale b you 200go,10,10,606,False,fr_bd_839181104
Vos services fournis par votre opérateur,vos services fournis par votre operateur,10,10,606100,False,fr_bd_831060876 | fr_bd_839181104
Avantage Internet 60Go,avantage internet 60go,8,8,606100,False,fr_bd_839181104
Remise Forfait B&YOU,remise forfait b you,8,8,606,False,fr_bd_839181104
Repas complet,repas complet,8,8,606100,False,fr_bd_839181104
"Vos abonnements, forfaits et options",vos abonnements forfaits et options,8,8,606100,False,fr_bd_831060876 | fr_bd_839181104 | fr_bd_890852403
Article non spécifié,article non specifie,7,8,606100,False,fr_bd_839181104 | fr_bd_888020088
BAGUETTE/PIDE/SOMON,baguette pide somon,7,7,60610000,False,fr_bd_888020088
