source_file,output_file,action,bucket,article_source_before,article_source_after,account_before,account_after,details,target_file
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,COTI.RSD,COTI.RSD,6227,6227,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,FRAIS FIXES,FRAIS FIXES,6281,6281,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,INTERBEV,INTERBEV,6227,6227,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Entretien parking,Entretien parking,6152,6152,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,627,627,"['abonnement', 'trim', 'mobitpe', 'mobile', '01', '04'] -> ['abonnement', 'mobitpe', 'mobile']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,627,627,"sous_profil,nature_charge,profil_facturation,profil_facturation_champs,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,626,626,"['abonnement', 'trim', 'sims', 'carte', 'sim', '01'] -> ['abonnement', 'sims', 'carte', 'sim']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,626,626,"profil_facturation_champs,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,COTI.RSD,COTI.RSD,6227,6227,"sous_categorie,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,DECRO,DECRO,6227,6227,"sous_categorie,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,F. FIXE,F. FIXE,6227,6227,"['f', 'fixe'] -> ['fixe']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,F. FIXE,F. FIXE,6227,6227,"sous_categorie,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,F. FIXE,F. FIXE,6227,6227,"['f', 'fixe'] -> ['fixe']",
