priority_rank,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
1,160,ibauf interbev boeuf am,IBAUF - Interbev Boeuf AM,6351,20.0,4632A,,,,,,,
2,143,rsd rsd,RSD - RSD,6351,20.0,4632A,,,,,,,
3,94,versement d acompte commande n,Versement d'acompte - Commande N° 520725,404,20.0,4752B,,,,,,,
4,92,ivguf interbev veau mg,IVGUF - Interbev Veau MG,6351,20.0,4632A,,,,,,,
5,83,ivauf interbev veau am,IVAUF - Interbev Veau AM,6351,20.0,4632A,,,,,,,
6,70,fournisseurs,Fournisseurs,401,,4722Z,,,,,,,
7,70,ibaff interbev boeuf am,IBAFF - Interbev Boeuf AM,6351,20.0,4632A,,,,,,,
8,67,indemnite forfaitaire frais de recouvrement eur,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6651,20.0,4632A,,,,,,,
9,64,indemnite forfaitaire frais de recouvrement eur,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6589,20.0,4632A,,,,,,,
10,63,location livebox pro,Location Livebox pro,6122,20.0,6110Z,,,,,,,
11,60,fac groupe sodivi,FAC GROUPE SODIVI 0024061245,70,0.0,4639B,,,,,,,
12,54,ivaff interbev veau am,IVAFF - Interbev Veau AM,6351,20.0,4632A,,,,,,,
13,52,contribution public de l electricite cspe,Contribution au Service Public de l'Electricité (CSPE),6351,20.0,4520A,,,,,,,
14,51,contribution tarifaire d acheminement,Contribution Tarifaire d'Acheminement,6351,20.0,6612Z,,,,,,,
15,49,contribution tarifaire d acheminement cta,Contribution Tarifaire d'Acheminement (CTA),6351,5.5,4520A,,,,,,,
16,49,reglement de facture bfve,Règlement de facture BFVE-25-36455,401,,4633Z,4639B,,,,,,
17,47,indemnite forfaitaire frais de recouvrement eur,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),658,20.0,4632A,,,,,,,
18,45,indemnite forfaitaire frais de recouvrement eur,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6588,20.0,4632A,,,,,,,
19,42,acompte pour le devis dev correspondant,"Acompte pour le devis DEV-2024-0827 du 22/05/2024 correspondant à 30 % du montant total de 28450,80 €",404,5.5,4120B,,,,,,,
20,42,facture client mr melbouci yann,Facture Client 200031 MR MELBOUCI YANN,411,5.5,4639B,,,,,,,
21,36,ibguf interbev boeuf mg,IBGUF - Interbev Boeuf MG,6351,20.0,4632A,,,,,,,
22,34,loyer empl stationnement for,Loyer Empl.Stationnement (FOR),706100,0.0,6820A,,,,,,,
23,34,etablissement d une fiche de paie,Etablissement d'une fiche de paie Janvier 2024,706100,20.0,5829C,,,,,,,
24,34,dsn,DSN 06.2024,706100,20.0,5829C,,,,,,,
25,34,interbev boeuf am,Interbev Boeuf AM,6351,20.0,4632A,,,,,,,
26,33,acompte charges annexes for,Acompte charges annexes (FOR),706200,0.0,6820A,,,,,,,
27,33,ticgn,TICGN du 01/10/2024 au 01/11/2024,6351,20.0,35.23Z,,,,,,,
28,33,facture fv2409,Facture FV2409-00768,707,0.0,4632C,,,,,,,
29,33,fv2402,FV2402-00296,411,0.0,4632C,,,,,,,
30,32,interets pour retard de paiement de,Intérêts pour retard de paiement de la facture 10195913252 du 22/03/2024,665,0.0,3513Z,,,,,,,
31,31,cta,CTA du 01/11/2024 au 01/12/2024,6351,5.5,35.23Z,,,,,,,
32,31,facture fv2409,Facture FV2409-00833,707100,0.0,4632C,,,,,,,
33,30,complement prix efficacite energetique,Complément Prix Efficacité Energétique du 01/10/2024 au 01/11/2024,6351,20.0,35.23Z,,,,,,,
34,29,vente de marchandises,Vente de marchandises,701,,,,,,,,,
35,29,garde garde,GARDE - GARDE,6351,5.5,4632A,,,,,,,
36,29,contribution public de i electricite cspe,Contribution au Service Public de I'Electricité (csPE),6351,20.0,6612Z,,,,,,,
37,28,indemnite forfaitaire frais de recouvrement,Indemnité forfaitaire frais de recouvrement,6651,20.0,4632A,,,,,,,
38,27,box 2eme etage 5m2 11m3 forfait,Box 2éme ETAGE 4.5m2 / 11m3 Forfait mensuel 69.17 EUR,6112,20.0,6820B,,,,,,,
39,25,facture mouad,FACTURE MOUAD,411,,513D,,,,,,,
40,25,rabais remise prorata occup,"Rabais, Remise (Prorata Occup)",709700,0.0,6820A,,,,,,,
41,25,interbev veau am,Interbev Veau AM,6351,20.0,4632A,,,,,,,
42,25,fv2405 nasrya,FV2405-00182 NASRYA,411,0.0,4632C,,,,,,,
43,25,taxe interieure de consommation sur le,Taxe Intérieure de Consommation sur le Gaz Naturel,6351,20.0,3513Z,,,,,,,
44,24,reglement de facture fv2509,Règlement de facture FV2509-00147,401,0.0,4632C,,,,,,,
45,24,reglement de facture fv2406,Règlement de facture FV2406-00150,401,0.0,4632C,,,,,,,
46,24,bic couleurs shine bille configuration produit,BIC@ 4 Couleurs Shine bille - Configuration produit : 4 Col Shine BP LP metallic blue_UP_white_RI black (01/34) - 1106 - SP - Barrel clip centered 30 x 43 mm: Sérigraphie 1 couleur - Blanc - Packaging : Carton Box 13.6 x 32.4 x 15.2,707100,20.0,4649Z,,,,,,,
47,23,etat a payer facture fv2401,État à payer - Facture FV2401-00390,411,0.0,4632C,,,,,,,
48,23,paiements supplementaires,Paiements supplémentaires,706100,0.0,6312Z,,,,,,,
49,22,fact bl agences,Fact. BL agences,411,0.0,,,,,,,,
50,22,facture fv2409 pour nasrya,Facture FV2409-00833 pour NASRYA,411,0.0,4632C,,,,,,,
51,21,prelevement sepa commande,Prélèvement SEPA - Commande 025419065,401,20.0,6420Z,,,,,,,
52,21,contribution public de l electricite,Contribution au Service Public de l'Electricité,6351,20.0,3513Z,,,,,,,
53,20,reglement facture bfve,Règlement facture BFVE-25-28217,401,,4633Z,,,,,,,
54,20,vente viande halal,VENTE VIANDE HALAL,707,5.5,4639B,,,,,,,
55,20,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,707100,5.5,4631Z,,,,,,,
56,19,contribution public electricite,Contribution Service Public électricité,6351,20.0,3514Z,,,,,,,
57,19,clients,Clients,411,,4722Z,,,,,,,
58,18,eco contribution,Eco Contribution,44587,20.0,4673A,,,,,,,
59,18,ioaff interbev ovin am,IOAFF - Interbev Ovin AM,6351,20.0,4632A,,,,,,,
60,16,facture client fa22cl,Facture client FA22CL-9858,411,5.5,,,,,,,,
61,16,rabais remise prorata occup,"Rabais, Remise (Prorata Occup)",709,0.0,6820A,,,,,,,
62,16,reglement de facture fv2407,Règlement de facture FV2407-00386,401,,4632C,,,,,,,
63,15,loyer principal avis n,Loyer principal DU 01/10/2024 AU 31/10/2024 AVIS N 120140278 DU 30/09/2024,6111,20.0,6820A,,,,,,,
64,15,loyer empl stationnement for,Loyer Empl.Stationnement (FOR),706,0.0,6820A,,,,,,,
65,15,acompte charges annexes for,Acompte charges annexes (FOR),706,0.0,6820A,,,,,,,
66,15,rsd rsd,RSD - RSD,635,20.0,4632A,,,,,,,
67,15,interbev veau mg,Interbev Veau MG,6351,20.0,4632A,,,,,,,
68,14,taxe interieure sur la consommation de,Taxe Intérieure sur la Consommation de Gaz Naturel (TICGN),6351,20.0,4520A,,,,,,,
69,14,ventes cessions,VENTES/CESSIONS,754,,,,,,,,,
70,14,montant titre de la facture precedente,Montant dû au titre de la facture précédente,401,0.0,6312Z,,,,,,,
71,13,loyer principal,Loyer Principal,6111,0.0,6831Z,,,,,,,
72,13,indemnite forfaitaire pour la facture,Indemnité forfaitaire pour la facture 10200546261 du 22/05/2024,665,0.0,3513Z,,,,,,,
73,13,location livebox,Location Livebox,6122,20.0,6110Z,,,,,,,
74,13,agneau moins de,AGNEAU ******* MOINS DE 12 MOIS,707100,5.5,6311Z,4632A,,,,,,
75,13,milieu train blanc bleu belge viande,MILIEU TRAIN BLANC BLEU BELGE VIANDE HALLAL,707100,5.5,4722Z,4632A,,,,,,
76,13,taxes et contributions contribution tarifaire d,Taxes et contributions - Contribution Tarifaire d'Acheminement (CTA),6351,5.5,4520A,,,,,,,
77,12,reglement de factures facture fv2508,Règlement de factures - Facture FV2508-01758,401,,4632C,,,,,,,
78,12,ivguf interbev veau mg,IVGUF - Interbev Veau MG,635,20.0,4632A,,,,,,,
79,12,reglement de facture bfve,Règlement de facture BFVE-24-43642,512,0.0,4633Z,,,,,,,
80,12,loyer de location vehicule,Loyer de location véhicule - Période 15/01/2025 au 31/01/2025,6122,20.0,,,,,,,,
81,12,solde client facture bfve,Solde client - Facture BFVE-24-04567,401,,4638B,4633Z,,,,,,
82,11,cristali 50cl pet,CRISTALI 50CL PET,70710000,5.5,4639B,,,,,,,
83,11,taxes locales part communale,Taxes locales - part communale,6351,20.0,,,,,,,,
