file,item_index,article_source,old_account,new_account,confidence,top_votes,total_votes,source_invoice_ids
base_produits_epicerie_v1.json,1,PLANTAIN 22K PLATIMIUM COLOMBIE,6011,607,1.00,2,2,fr_bd_904981941:0591e558-221c-459b-8c9b-4474255ec9c9 | fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:41dc48a0-55d1-41e6-81ec-7ad30be23ec1
base_produits_epicerie_v1.json,2,AUBERGINE BLANCHE 5KG ESPAGNE,6011,607,1.00,1,1,fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:43242b9c-07ea-4e02-a813-58e6e4cb6b2d | fr_bd_904981941:50faea2f-9851-4428-ad72-fe2ee039063d
base_produits_epicerie_v1.json,3,CAROTTE 10KG BELGIQUE,6011,607,1.00,1,1,fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:43242b9c-07ea-4e02-a813-58e6e4cb6b2d | fr_bd_904981941:50faea2f-9851-4428-ad72-fe2ee039063d
base_produits_epicerie_v1.json,4,GINGEMBRE 10KG CHINE,6011,607,1.00,2,2,fr_bd_904981941:144932a2-3e6d-4220-b8e0-090d02ee9803 | fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:22e90edd-1d2e-4c29-9c32-d98c1942a188
base_produits_epicerie_v1.json,5,PLANTAINS JAUNE,601,607,1.00,3,3,fr_bd_904981941:043d3036-5a0d-44a5-aecd-9e4d6ed89446 | fr_bd_904981941:2035d586-c086-4259-82e0-dd4edef7b86f | fr_bd_904981941:6c1eb7ca-6b45-4aa8-a33a-62bfde71e4a8
base_produits_epicerie_v1.json,6,GINGEMBRE 13.6 KG PEROU,6011,607,1.00,2,2,fr_bd_904981941:144932a2-3e6d-4220-b8e0-090d02ee9803 | fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:22e90edd-1d2e-4c29-9c32-d98c1942a188
base_produits_epicerie_v1.json,7,Gombo,601,607,1.00,3,3,fr_bd_904981941:043d3036-5a0d-44a5-aecd-9e4d6ed89446 | fr_bd_904981941:2035d586-c086-4259-82e0-dd4edef7b86f | fr_bd_904981941:6c1eb7ca-6b45-4aa8-a33a-62bfde71e4a8
base_produits_epicerie_v1.json,8,CITRON VERT BRESIL,6011,607,1.00,1,1,fr_bd_904981941:0591e558-221c-459b-8c9b-4474255ec9c9 | fr_bd_904981941:22b4f0b3-c66c-4577-96a3-eed683371ff5 | fr_bd_904981941:41dc48a0-55d1-41e6-81ec-7ad30be23ec1
base_produits_epicerie_v1.json,9,PATATE DOUCE ROUGE 10KG BRESIL,6011,607,1.00,2,2,fr_bd_904981941:19bf8fe1-9ffc-40cf-a0e8-82036dd79650 | fr_bd_904981941:50faea2f-9851-4428-ad72-fe2ee039063d | fr_bd_904981941:6549927d-c51c-4c61-b3bb-1b8a5d06d7c7
base_produits_epicerie_v1.json,10,Piment,601,607,1.00,3,3,fr_bd_904981941:043d3036-5a0d-44a5-aecd-9e4d6ed89446 | fr_bd_904981941:2035d586-c086-4259-82e0-dd4edef7b86f | fr_bd_904981941:6c1eb7ca-6b45-4aa8-a33a-62bfde71e4a8
