"invoice_id","invoice_number","invoice_date","issuer_name","recipient_name","line_items_count","total_gross","currency","base_produit_metier_suggere","decision_base_metier","commentaire"
"fr_bd_519665103:2844b8a9-86d2-4065-8b23-d8c7b3debb5e","","","SENV","BOUCHERIE MOUAD","8","1934.82","EUR","boucherie","",""
"fr_bd_519665103:c61e947f-0e07-445b-a462-24d51a90071e","0021081867","23/07/2021","GRG MAISON DES VIANDES","MR AZIZI HICHAM","7","3986.69","EUR","boucherie","",""
"fr_bd_519665103:0c7bac01-ffe3-4f9a-a00d-6e30c76d7ace","FA00005416","01/01/2023","QUI MANGE","MOUAD","19","6082.4","EUR","a_confirmer","",""
"fr_bd_519665103:0bd93ae6-bc48-4b0b-916d-719262f24cbd","FA22CL-9858","11/01/2023","COUTELLERIE HALLES DE RUNGIS","ROYAL VIANDE","1","56.95","EUR","boucherie","",""
"fr_bd_519665103:cf919830-18da-4ce1-8f92-1082bf819f40","FA22CL-9858","11/01/2023","COUTELLERIE HALLES DE RUNGIS","ROYAL VIANDE","1","56.95","EUR","boucherie","",""
"fr_bd_519665103:e4faf6bb-897e-4ad9-9c81-f1228dfa9569","FA22CL-9858","11/01/2023","INCONNU","FORY VIANDES","17","3136.5","EUR","boucherie","",""
"fr_bd_519665103:178fa06f-4860-498d-9b5d-c26c4ca2b3c8","FA22CL-9938","13/01/2023","COUTELLERIE HALLES DE RUNGIS","ROYAL VIANDE","3","128.3","EUR","boucherie","",""
"fr_bd_519665103:706f058f-04ef-466c-8a64-46f3013e75e8","FA22CL-11885","05/04/2023","COUTELLERIE HALLES DE RUNGIS","BOUCHERIE ROYAL VIANDE","6","653.32","EUR","boucherie","",""
"fr_bd_519665103:fa4501ef-0fd5-498f-9c8b-a75c20ee9534","FA22CL-12517","29/04/2023","COUTELLERIE HALLES DE RUNGIS","ROYAL VIANDE","3","187.45","EUR","boucherie","",""
"fr_bd_519665103:e9b6ada4-4494-4c43-b89b-b843084bc94e","FA22CL-14259","17/07/2023","COUTELLERIE HALLES DE RUNGIS","COUTELLERIE HALLES DE RUNGIS","3","214.44","EUR","boucherie","",""
"fr_bd_519665103:63b3f138-d6f9-41bb-906d-8bdfc516cd9a","FA22CL-14682","11/08/2023","COUTELLERIEHALLES DE RUNGIS","BOUCHERIE ROYAL VIANDE","2","405.97","EUR","boucherie","",""
"fr_bd_519665103:9c04e28d-1321-4094-a2b4-94ecce32b873","FA22CL-14682","11/08/2023","COUTELLERIE HALLES DE RUNGIS","BOUCHERIE ROYAL VIANDE","9","401.52","EUR","boucherie","",""
"fr_bd_519665103:9967a78d-e32e-4fe6-8a33-0d7d54500522","FA22CL-15699","25/09/2023","COUTELLERIE HALLES DE RUNGIS","COUTELLERIE HALLES DE RUNGIS","1","66.37","EUR","boucherie","",""
"fr_bd_519665103:226a4d56-1c83-4377-8250-f94aa9678956","FA22CL-17077","31/10/2023","COUTELLERIE HALLES DE RUNGIS","BOUCHERIE ROYAL VIANDE","4","338.96","EUR","boucherie","",""
