invoice_id,invoice_number,invoice_date,issuer_name,recipient_name,line_items_count,accounting_summary_count,vat_rows_count,total_net,total_vat,total_gross,currency,created_at,updated_at,issuer_siren,issuer_ape,issuer_ape_source,recipient_siren,recipient_ape,recipient_ape_source
fr_bd_519665103:2844b8a9-86d2-4065-8b23-d8c7b3debb5e,,,SENV,BOUCHERIE MOUAD,8,1,1,1934.82,0.0,1934.82,EUR,,,499664563,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:c61e947f-0e07-445b-a462-24d51a90071e,0021081867,23/07/2021,GRG MAISON DES VIANDES,MR AZIZI HICHAM,7,6,0,3986.69,,3986.69,EUR,,,542063623,4632A,invoice_form,,,
fr_bd_519665103:0c7bac01-ffe3-4f9a-a00d-6e30c76d7ace,FA00005416,01/01/2023,QUI MANGE,MOUAD,19,1,0,6082.4,,6082.4,EUR,,,,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:0bd93ae6-bc48-4b0b-916d-719262f24cbd,FA22CL-9858,11/01/2023,COUTELLERIE HALLES DE RUNGIS,ROYAL VIANDE,1,1,1,47.46,9.49,56.95,EUR,,,489928044,,,,,
fr_bd_519665103:cf919830-18da-4ce1-8f92-1082bf819f40,FA22CL-9858,11/01/2023,COUTELLERIE HALLES DE RUNGIS,ROYAL VIANDE,1,1,1,47.46,9.49,56.95,EUR,,,489928044,,,489928044,,
fr_bd_519665103:e4faf6bb-897e-4ad9-9c81-f1228dfa9569,FA22CL-9858,11/01/2023,INCONNU,FORY VIANDES,17,1,17,2788.6,347.9,3136.5,EUR,,,,,,513820647,,
fr_bd_519665103:178fa06f-4860-498d-9b5d-c26c4ca2b3c8,FA22CL-9938,13/01/2023,COUTELLERIE HALLES DE RUNGIS,ROYAL VIANDE,3,1,2,110.29,18.01,128.3,EUR,,,489928044,,,,,
fr_bd_519665103:706f058f-04ef-466c-8a64-46f3013e75e8,FA22CL-11885,05/04/2023,COUTELLERIE HALLES DE RUNGIS,BOUCHERIE ROYAL VIANDE,6,1,2,629.32,24.0,653.32,EUR,,,489928044,,,,,
fr_bd_519665103:fa4501ef-0fd5-498f-9c8b-a75c20ee9534,FA22CL-12517,29/04/2023,COUTELLERIE HALLES DE RUNGIS,ROYAL VIANDE,3,2,2,163.37,24.08,187.45,EUR,,,489928044,,,,,
fr_bd_519665103:e9b6ada4-4494-4c43-b89b-b843084bc94e,FA22CL-14259,17/07/2023,COUTELLERIE HALLES DE RUNGIS,COUTELLERIE HALLES DE RUNGIS,3,2,3,204.84,9.6,214.44,EUR,,,489928044,,,,,
fr_bd_519665103:63b3f138-d6f9-41bb-906d-8bdfc516cd9a,FA22CL-14682,11/08/2023,COUTELLERIEHALLES DE RUNGIS,BOUCHERIE ROYAL VIANDE,2,1,2,352.47,53.5,405.97,EUR,,,489928044,,,,,
fr_bd_519665103:9c04e28d-1321-4094-a2b4-94ecce32b873,FA22CL-14682,11/08/2023,COUTELLERIE HALLES DE RUNGIS,BOUCHERIE ROYAL VIANDE,9,2,1,334.6,66.92,401.52,EUR,,,489928044,,,,,
fr_bd_519665103:9967a78d-e32e-4fe6-8a33-0d7d54500522,FA22CL-15699,25/09/2023,COUTELLERIE HALLES DE RUNGIS,COUTELLERIE HALLES DE RUNGIS,1,1,1,62.91,3.46,66.37,EUR,,,489928044,,,,,
fr_bd_519665103:226a4d56-1c83-4377-8250-f94aa9678956,FA22CL-17077,31/10/2023,COUTELLERIE HALLES DE RUNGIS,BOUCHERIE ROYAL VIANDE,4,2,2,312.87,26.09,338.96,EUR,,,489928044,,,489928044,,
fr_bd_519665103:5f1e5945-f5bf-4f13-910f-cde1fe746356,F04328,23/11/2023,AYAD HAL DISTRIB,BOUCHERIE FLANDRE,2,2,1,1507.5,82.91,1590.41,EUR,,,828535542,4639B,siren_map_partition,499664563,4632A,siren_map_partition
fr_bd_519665103:25b16df8-ef99-4b11-a0a0-01868d86b1a4,FA22CL-17585,30/11/2023,BOUCHERIE ROYAL VIANDE,COUTELLERIE HALLES DE RUNGIS,4,2,2,161.44,17.76,179.2,EUR,,,489928044,,,489928044,,
fr_bd_519665103:184cfe0d-dc79-4a7c-9ded-8f1aa9190d10,10187814642,04/12/2023,ENEDIS,MOUAD,2,1,0,4366.14,,4366.14,EUR,,,444608442,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:86fee7e9-0b9b-4c31-ad32-f4a2c20a9cec,F04339,06/12/2023,AYAD HALDISTRIB,BOUCHERIE ROYALE VIANDE,1,1,1,895.0,49.23,944.23,EUR,,,828535542,4639B,siren_map_partition,,,
fr_bd_519665103:87375ca4-16fc-47bd-8e5d-bae9c1ab0df4,F04339,06/12/2023,AYAD HALDISTRIB,BOUCHERIE ROYALE VIANDE,1,1,1,895.0,49.23,944.23,EUR,,,828535542,4639B,siren_map_partition,,,
fr_bd_519665103:9456e578-4884-49d0-b7f9-a1d6442e5c06,F04342,06/12/2023,AYAD HALDISTRIB,BOUCHERIE ROYALE VIANDE,1,1,1,165.0,9.07,174.07,EUR,,,828535542,4639B,siren_map_partition,,,
fr_bd_519665103:f237c243-0c9e-4953-b51e-2bdbd58cb5eb,F04342,06/12/2023,AYAD HALDISTRIB,BOUCHERIE ROYALE VIANDE,1,1,1,165.0,9.07,174.07,EUR,,,828535542,4639B,siren_map_partition,,,
fr_bd_519665103:19ad4eaf-78b6-45a8-bf1d-bb0f17781067,24094,29/12/2023,STE LAROCHE,SCI EB,1,1,1,59.35,11.87,71.22,EUR,,,304668858,4669C,siren_map_partition,844820100,,
