base;action;article_source;old_account;new_account;reason
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Béton pompé;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PLANCHER;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PLANCHER finition brut;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLAGE finition hélicoptére;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PH RDC;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLE BETON Finition hélicoptére;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PARKING S/SOL;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLAGE;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Coulage PH R-1 ( finition hélicoptére );6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PLANCHER FORFAIT;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(03/05/2023) Coulage PH RDC BAT 11;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(05/05/2023) Coulage PH RDC BAT 11;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(12/05/2023) Coulage PH R+2 BAT 8;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(19/05/2023) Coulage PH R+1 BAT 14;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(23/05/2023) Coulage PH RDC BAT 10;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;(31/05/2023) Coulage PH R+2 BAT 6;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;01/12/2023 COULAGE PLANCHER;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLAGE / PLANCHERS - PH BAT B;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLAGE/ PLANCHERS - PH RDC BAT A;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE DALLAGE/ PLANCHERS PH BAT A;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PH R+1 BAT A;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PLANCHER PH R+2 Finition brut;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;COULAGE PLANCHER finition hélicoptére;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Coulage DALLAGE Finition hélicoptére avec Surfaquartz;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Coulage DALLE BASSE (avec Surfaquartz);6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Coulage PH R+2 BATIMENT 4;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;Coulage planchers infra;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;FORFAIT COULAGE DALLAGE Finition hélicoptére;6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;M.A.D Pompe Béton (FORFAIT);6063;;btp_service_like_label
base_produits_btp_corrected_v3.json;exclude_from_strict_product_injection;PARKING Coulage Radier;6063;;btp_service_like_label
base_produits_transport_corrected_v3.json;account_fix;Gazole;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;ADblue;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;GAZOLE Carburant;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;Carburant GO (Gazole);6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;GO (Gazole);6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;ADBLUE vrac;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;ADBLUE 10L (PDP);6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;Gazole Excellium;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;Gazole Premier;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;AdBlue Pompe;6061;6063;fuel_or_vehicle_supply_strict_review
base_produits_transport_corrected_v3.json;account_fix;PATE POUR FREINS;626;6062;fuel_or_vehicle_supply_strict_review
