item_id,article_source,issuer_name_main,issuer_ape_main,tva_rate,expected_compte_comptable,predicted_compte_comptable,account_match,expected_sous_profil,predicted_sous_profil,sous_profil_match,predicted_profil_facturation,predicted_score_confiance,score_gap_top2,recommendation_decision,recommendation_alerts,top3_accounts,top3_sous_profils,top3_articles,top1_match_reason,top1_tva_coherence,top1_metier_coherence
cext_0001,COTI.RSD,BBV,4632A,20.0,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6226 (36.67),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | transport_et_logistique (36.67),COTI.RSD (100.0) | COTI.RSD (100.0) | Total Port (36.67),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0002,FRAIS FIXES,BBV,4632A,20.0,6281,6281,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,40.89,auto_ok,,6281 (100.0) | 6227 (59.11) | 6227 (59.0),cotisations_professionnelles (100.0) | frais_administratifs_et_bancaires (59.11) | transport_et_logistique (59.0),FRAIS FIXES (100.0) | Frais de relance (59.11) | Frais de port (59.0),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0003,INTERBEV,BBV,4632A,20.0,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6227 (44.67),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | cotisations_professionnelles (44.67),INTERBEV (100.0) | INTERBEV (100.0) | interb vdo (44.67),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0004,Entretien parking,VALOPHIS HABITAT OFFICE PUBLIC DE LHABITAT DU VAL DE MARNE,,20.0,6152,6152,yes,entretien_et_maintenance,entretien_et_maintenance,yes,intervention_ponctuelle,100.0,70.75,auto_ok,,6152 (100.0) | 6226 (29.25) | 6226 (25.22),entretien_et_maintenance (100.0) | transport_et_logistique (29.25) | transport_et_logistique (25.22),Entretien parking (100.0) | Sortie volaille (29.25) | Total Port (25.22),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0005,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,EURO-INFORMATION,6203Z,20.0,6226,627,no,telecom_et_abonnements,frais_administratifs_et_bancaires,no,forfait_ou_frais,100.0,0.0,auto_ok,,627 (100.0) | 6226 (100.0) | 6132 (24.3),frais_administratifs_et_bancaires (100.0) | telecom_et_abonnements (100.0) | loyers_et_charges_locatives (24.3),ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25 (100.0) | ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25 (100.0) | LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022 (24.3),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0006,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,EURO-INFORMATION,6203Z,20.0,6226,6226,yes,telecom_et_abonnements,telecom_et_abonnements,yes,abonnement_et_consommation,100.0,0.0,auto_ok,,6226 (100.0) | 627 (100.0) | 6132 (23.26),telecom_et_abonnements (100.0) | frais_administratifs_et_bancaires (100.0) | loyers_et_charges_locatives (23.26),ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25 (100.0) | ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25 (100.0) | LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022 (23.26),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0007,COTI.RSD,BBV,4632A,5.5,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6227 (34.0),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | cotisations_professionnelles (34.0),COTI.RSD (100.0) | COTI.RSD (100.0) | INTERBEV (34.0),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0008,DECRO,ETABLISSEMENTS CANU,4632A,20.0,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,70.54,auto_ok,,6227 (100.0) | 6227 (29.46) | 6132 (22.67),cotisations_professionnelles (100.0) | cotisations_professionnelles (29.46) | loyers_et_charges_locatives (22.67),DECRO (100.0) | INTERBEV (29.46) | SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (22.67),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0009,F. FIXE,BBV,4632A,5.5,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6281 (41.35),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | cotisations_professionnelles (41.35),F. FIXE (100.0) | F. FIXE (100.0) | FRAIS FIXES (41.35),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0010,F. FIXE,BBV,4632A,20.0,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6281 (49.35),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | cotisations_professionnelles (49.35),F. FIXE (100.0) | F. FIXE (100.0) | FRAIS FIXES (49.35),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
