base_file,metier_base,client_siren,client_ape_used,client_ape_source,article_source,article_canonique,tva_rate,expected_compte_comptable,predicted_compte_comptable,account_match,expected_metier,predicted_metier,metier_match,predicted_categorie,predicted_sous_categorie,predicted_score_confiance,score_gap_top2,recommendation_source,recommendation_decision,recommendation_alerts,top3_accounts,top3_metiers,top3_articles,top1_match_reason
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,CANADIENNE D'OEUFS X180,oeufs,5.5,601,601,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,46.0,product_metier_recommendation_auto,auto_ok,,601 (100.0) | 6011 () | 6061 (),boulangerie (100.0) | boulangerie () | boulangerie (),CANADIENNE D'OEUFS X180 (100.0) | OEUFS X30 () | OEUFS MOYENS BLANCS 10*30 (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,FARINE DE POIS CHICHE,farine pois chiche,5.5,6061,6061,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,6061 (100.0) | 60610000 () | 601 (),boulangerie (100.0) | boulangerie () | boulangerie (),FARINE DE POIS CHICHE (100.0) | Farine Pois Chiches 500g () | CANADIENNE D'OEUFS X180 (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,Farine Pois Chiches 500g,farine pois chiche,5.5,60610000,60610000,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,60610000 (100.0) | 6061 () | 60610000 (),boulangerie (100.0) | boulangerie () | boulangerie (),Farine Pois Chiches 500g (100.0) | FARINE DE POIS CHICHE () | Sel fin WALIMA 500g (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,HUILE D'OLIVE EL HORA,huile olive,5.5,60610000,60610000,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,60610000 (100.0) | 60610000 () | 6061 (),boulangerie (100.0) | boulangerie () | boulangerie (),HUILE D'OLIVE EL HORA (100.0) | Huile d'olive TASSOURT 1L () | HUILE TOURNESOL 25L MAUREL BIDON (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,Huile d'olive TASSOURT 1L,huile olive,5.5,60610000,60610000,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,60610000 (100.0) | 60610000 () | 6062 (),boulangerie (100.0) | boulangerie () | boulangerie (),Huile d'olive TASSOURT 1L (100.0) | HUILE D'OLIVE EL HORA () | HUILE TOURNESOL 1L x15 MAUREL (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,HUILE TOURNESOL 1L x15 MAUREL,huile tournesol,5.5,6062,6062,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,6062 (100.0) | 6010 () | 6061 (),boulangerie (100.0) | restaurant () | boulangerie (),HUILE TOURNESOL 1L x15 MAUREL (100.0) | HUILE TOURNESOL 1L x15 MAUREL () | HUILE TOURNESOL 25L MAUREL BIDON (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,HUILE TOURNESOL 25L MAUREL BIDON,huile tournesol,5.5,6061,6061,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,6061 (100.0) | 6062 () | 6010 (),boulangerie (100.0) | boulangerie () | restaurant (),HUILE TOURNESOL 25L MAUREL BIDON (100.0) | HUILE TOURNESOL 1L x15 MAUREL () | HUILE TOURNESOL 1L x15 MAUREL (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,LAIT FERMENTE CHERGUI 10 X 1L,lait,5.5,6061,6061,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,25.36,product_metier_recommendation_auto,auto_ok,,6061 (100.0) | 6061 () | 6061 (),boulangerie (100.0) | boulangerie () | boulangerie (),LAIT FERMENTE CHERGUI 10 X 1L (100.0) | LAIT FERMENTE LUXLAIT 8X1L () | LAIT FERMENTEE LUXLAIT X8 (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,LAIT FERMENTE LUXLAIT 8X1L,lait,5.5,6061,6061,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,0.0,product_metier_recommendation_auto,auto_ok,,6061 (100.0) | 6061 () | 6061 (),boulangerie (100.0) | boulangerie () | boulangerie (),LAIT FERMENTE LUXLAIT 8X1L (100.0) | LAIT FERMENTEE LUXLAIT X8 () | LAIT FERMENTE CHERGUI 10 X 1L (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,LAIT FERMENTEE LUXLAIT X8,lait,5.5,6061,6061,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,3.88,product_metier_recommendation_auto,auto_ok,,6061 (100.0) | 6061 () | 6061 (),boulangerie (100.0) | boulangerie () | boulangerie (),LAIT FERMENTEE LUXLAIT X8 (100.0) | LAIT FERMENTE LUXLAIT 8X1L () | LAIT FERMENTE CHERGUI 10 X 1L (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
base_produits_boulangerie_v1.json,boulangerie,519665103,1071C,metier_default,Levure Saf 125g,levure,5.5,60610000,60610000,yes,boulangerie,boulangerie,yes,exploitation_metier,matiere_premiere,100.0,20.71,product_metier_recommendation_auto,auto_ok,,60610000 (100.0) | 6061 () | 6062 (),boulangerie (100.0) | boulangerie () | boulangerie (),Levure Saf 125g (100.0) | SAF LEVURE *72 () | HUILE TOURNESOL 1L x15 MAUREL (),"match exact article_source, source facture reelle, bonus metier, bonus TVA, bonus meme invoice_form source, bonus metier prefere"
