item_id,article_source,article_canonique,compte_comptable,tva_rate,sous_categorie,sous_profil,nature_charge,profil_facturation,profil_facturation_champs,source_invoice_id_main,issuer_name_main,issuer_ape_main,recipient_name_main,recipient_ape_main,decision_keep_or_exclude,corrected_sous_profil,corrected_compte_comptable,corrected_profil_facturation,corrected_profil_facturation_champs,splitting_rule_note,comment
cext_0001,COTI.RSD,coti rsd,6227,20.0,charges_generales,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0002,FRAIS FIXES,frais fixes,6281,20.0,charges_generales,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:36235183-6541-4bdc-b710-599100954c57,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0003,INTERBEV,interbev,6227,20.0,charges_generales,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0004,Entretien parking,entretien parking,6152,20.0,entretien_reparation,entretien_et_maintenance,entretien,intervention_ponctuelle,date_intervention | description_intervention | montant_ht,fr_bd_519665103:d494443e-2aa4-4ad8-84d6-f1bf18f358aa,VALOPHIS HABITAT OFFICE PUBLIC DE LHABITAT DU VAL DE MARNE,,MOUAD,4722Z,,,,,,,
cext_0005,ABONNEMENT TRIM. MOBITPE MOBILE du 01/04/25 au 30/06/25,abonnement trim mobitpe mobile,6226,20.0,frais_service,telecom_et_abonnements,abonnement,abonnement_et_consommation,periode_debut | periode_fin | abonnement_ht | consommation_ht | identifiant_ligne,fr_bd_519665103:b3742730-2748-49f2-acad-1d8d2a7d33a1,EURO-INFORMATION,6203Z,LA POSTE TELECOM,,,,,,,,
cext_0006,ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25,abonnement trim sims carte sim,6226,20.0,frais_service,telecom_et_abonnements,abonnement,abonnement_et_consommation,periode_debut | periode_fin | abonnement_ht | consommation_ht | identifiant_ligne,fr_bd_519665103:b3742730-2748-49f2-acad-1d8d2a7d33a1,EURO-INFORMATION,6203Z,LA POSTE TELECOM,,,,,,,,
cext_0007,COTI.RSD,coti rsd,6227,5.5,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0008,DECRO,decro,6227,20.0,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:003f5876-a443-42e2-9d69-60c58f89afa5,ETABLISSEMENTS CANU,4632A,MOUAD,4722Z,,,,,,,
cext_0009,F. FIXE,f fixe,6227,5.5,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0010,F. FIXE,f fixe,6227,20.0,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0011,Frais Administratifs Carte Acheteur,frais administratifs carte acheteur,6226,20.0,frais_service,frais_administratifs_et_bancaires,frais,forfait_ou_frais,date_operation | description_frais | montant_ht,fr_bd_519665103:3810ce6d-c1f4-46c7-bd58-c9f0bd8e2156,RUNGIS MARCHE INTERNATIONAL,6832A,MOUAD,4722Z,,,,,,,
cext_0012,Frais de port,frais de port,6227,0.0,frais_service,transport_et_logistique,transport,prestation_ponctuelle,date_prestation | description_prestation | montant_ht,fr_bd_519665103:2cdae330-5c7d-4696-ac7e-47511f719b32,TRADCO FRANCE,,MOUAD,4722Z,,,,,,,
cext_0013,Frais de relance,frais de relance,6227,0.0,frais_service,frais_administratifs_et_bancaires,frais,forfait_ou_frais,date_operation | description_frais | montant_ht,fr_bd_519665103:09437944-54fa-4d58-b404-e954e21bfa22,LEFORT & RAIMBERT,,BOUCHERIE MOUAD,4722Z,,,,,,,
cext_0014,interb gbao,interb gbao,6227,5.5,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:775fd06b-7fff-4956-a893-221e08f7be6b,POMMIER TREPIN COUSIN,4632A,MOUAD,4722Z,,,,,,,
cext_0015,interb vdo,interb vdo,6227,5.5,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:775fd06b-7fff-4956-a893-221e08f7be6b,POMMIER TREPIN COUSIN,4632A,MOUAD,4722Z,,,,,,,
cext_0016,INTERBEV,interbev,6227,5.5,frais_service,cotisations_professionnelles,cotisation,cotisation_ou_forfait,periode_debut | periode_fin | montant_ht,fr_bd_519665103:2a19728b-d217-45e9-984e-56d9935f6138,BBV,4632A,MOUAD,4722Z,,,,,,,
cext_0017,Sortie viande,sortie viande,6227,20.0,frais_service,transport_et_logistique,transport,prestation_ponctuelle,date_prestation | description_prestation | montant_ht,fr_bd_519665103:4213c9ec-a70b-448d-97ea-93a75f14fd96,AVIGROS,4632C,MOUAD,4722Z,,,,,,,
cext_0018,Sortie volaille,sortie volaille,6226,20.0,frais_service,transport_et_logistique,transport,prestation_ponctuelle,date_prestation | description_prestation | montant_ht,fr_bd_519665103:00b4a0b1-9c35-4fa1-8dcc-d22909b6a76e,AVIGROS,4632C,MOUAD,4722Z,,,,,,,
cext_0019,Terme 01/2025,terme,6226,0.0,frais_service,frais_administratifs_et_bancaires,frais,forfait_ou_frais,date_operation | description_frais | montant_ht,fr_bd_519665103:c76061b3-4fa9-4e2b-86ab-4ecb3515e2cf,LEFORT & RAIMBERT,,BOUCHERIE MOUAD,4722Z,,,,,,,
cext_0020,TM HT,tm ht,6226,20.0,frais_service,frais_administratifs_et_bancaires,frais,forfait_ou_frais,date_operation | description_frais | montant_ht,fr_bd_519665103:82696caf-1a22-4f64-975f-64bdb8ef57cb,SENV,4632A,MOUAD,4722Z,,,,,,,
cext_0021,Total Port,total port,6226,20.0,frais_service,transport_et_logistique,transport,prestation_ponctuelle,date_prestation | description_prestation | montant_ht,fr_bd_519665103:249fa365-db1b-45f7-957b-8f0879993396,AVIGROS,4632C,MOUAD,4722Z,,,,,,,
cext_0022,Transport sur ventes,transport sur ventes,6227,20.0,frais_service,transport_et_logistique,transport,prestation_ponctuelle,date_prestation | description_prestation | montant_ht,fr_bd_519665103:bd4a7e12-034e-44e4-a158-a7749c465dba,AVIGROS,4632C,MOUAD,4722Z,,,,,,,
cext_0023,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,acompte sur charges,6132,0.0,locations,loyers_et_charges_locatives,charges_locatives,loyer_et_charges,periode_debut | periode_fin | loyer_ht | charges_ht,fr_bd_519665103:60fab965-ca59-4781-8071-861c932c9a81,LEFORT & RAIMBERT,,BOUCHERIE MOUAD,4722Z,,,,,,,
cext_0024,DESOURISATION DU 30/01/2024,desourisation,613,0.0,locations,entretien_et_maintenance,entretien,intervention_ponctuelle,date_intervention | description_intervention | montant_ht,fr_bd_519665103:ea3966bd-6c5b-4593-9035-957402cb60cb,LEFORT & RAIMBERT,,BOUCHERIE MOUAD,4722Z,,,,,,,
cext_0025,LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022,loyer principal indice 4tr2022,6132,0.0,locations,loyers_et_charges_locatives,loyer,loyer_et_charges,periode_debut | periode_fin | loyer_ht | charges_ht,fr_bd_519665103:60fab965-ca59-4781-8071-861c932c9a81,LEFORT & RAIMBERT,,BOUCHERIE MOUAD,4722Z,,,,,,,
