item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0001,25,facture mouad,FACTURE MOUAD,411,,513D,,,,,,,
mrn_0002,24,reglement de facture fv2509,Règlement de facture FV2509-00147,401,0.0,4632C,,,,,,,
mrn_0003,16,facture client fa22cl,Facture client FA22CL-9858,411,5.5,,,,,,,,
mrn_0004,12,reglement de factures facture fv2508,Règlement de factures - Facture FV2508-01758,401,,4632C,,,,,,,
mrn_0005,7,fournisseurs,Fournisseurs,401,,4632C,,,,,,,
mrn_0006,5,reglement facture bfve,Règlement facture BFVE-25-28217,401,,4638B,,,,,,,
mrn_0007,2,reglement de factures avoir vav2501,Règlement de factures - Avoir VAV2501-04617,401,,4632C,,,,,,,
mrn_0008,1,facture n fa00005416,Facture N° FA00005416,411,,,,,,,,,
mrn_0009,1,facture n fa00005557,Facture N° FA00005557,411,,,,,,,,,
mrn_0010,1,facture n fa00005683,Facture N° FA00005683,411,,,,,,,,,
mrn_0011,1,facture n fa00005754,Facture N° FA00005754,411,,,,,,,,,
mrn_0012,1,rglt04757,RGLT04757,411,,,,,,,,,
mrn_0013,1,facture n fa00005861,Facture N° FA00005861,411,,,,,,,,,
mrn_0014,1,facture n fa00005959,Facture N° FA00005959,411,,,,,,,,,
mrn_0015,1,facture n fa00006144,Facture N° FA00006144,411,,,,,,,,,
mrn_0016,1,rglt05132,RGLT05132,411,,,,,,,,,
mrn_0017,1,facture n fa00006260,Facture N° FA00006260,411,,,,,,,,,
mrn_0018,1,facture n fa00006383,Facture N° FA00006383,411,,,,,,,,,
mrn_0019,1,mouad,MOUAD,411,,,,,,,,,
mrn_0020,1,facture n fa00006501,Facture N° FA00006501,411,,,,,,,,,
mrn_0021,1,facture n fa00006511,Facture N° FA00006511,411,,,,,,,,,
mrn_0022,1,facture n fa00006707,Facture N° FA00006707,411,,,,,,,,,
mrn_0023,1,facture n fa00006804,Facture N° FA00006804,411,,,,,,,,,
mrn_0024,1,facture n fa00006982,Facture N° FA00006982,411,,,,,,,,,
mrn_0025,1,facture n fa00007116,Facture N° FA00007116,411,,,,,,,,,
