issuer_name_source,issuer_siren_source,issuer_ape_source,matched_doc_id,matched_label,matched,sub_profiles_added,accounts_added
AVIGROS,447915430,4632C,fr_bd_519665103:26824e709d0c4558a709797e6973c50d,AVIGROS,yes,,6226 | 6227
BBV,392806741,4632A,fr_bd_519665103:2435cc3b02181392f4ee8887,BBV,created,Cotisations Professionnelles,6227 | 6281
ETABLISSEMENTS CANU,398434837,4632A,fr_bd_519665103:e8423f7ebc02471e809c26f67a6eb069,CANU,yes,,6227
EURO-INFORMATION,312730674,6203Z,fr_bd_519665103:8fb7bdba1f1543a394820816d639a5f9,EURO-INFORMATION,yes,,6226
LEFORT & RAIMBERT,562129635,,fr_bd_519665103:127feb0f65124805ba1718605e35a15a,LEFORT RAIMBERT,yes,,613 | 6132 | 6226 | 6227
POMMIER TREPIN COUSIN,562048314,4632A,fr_bd_519665103:ccd1f808054b4dbe82a97a01d0de7939,POMMIER TREPIN,yes,,6227
RUNGIS MARCHE INTERNATIONAL,662012491,6832A,fr_bd_519665103:c545f78508084f32a128f46d449eee94,RUNGIS MARCHE INTERNATIONAL,yes,,6226
SENV,499664563,4632A,fr_bd_519665103:4f5f13b012844d5b9bd8e2db46875a25,SENV SAS,yes,,6226
TRADCO FRANCE,442947859,,fr_bd_519665103:446a2b8c698b41edbe89dd84c634e53a,TRADCOFRANCE,yes,,6227
VALOPHIS HABITAT OFFICE PUBLIC DE LHABITAT DU VAL DE MARNE,785769555,,fr_bd_519665103:6385e0305f2e4e72aca1b534f04a2990,GROUPE VALOPHIS,yes,,6152
