item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0001,20,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,707100,5.5,4631Z,,,,,,,
mrn_0002,11,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0003,9,citron vert bresil,CITRON VERT BRESIL,707100,5.5,4631Z,,,,,,,
mrn_0004,9,ail 20x200gr chine,AIL 20x200gr CHINE,707100,5.5,4631Z,,,,,,,
mrn_0005,9,banane verte del monte equateur,BANANE VERTE DEL MONTE EQUATEUR,707100,5.5,4631Z,,,,,,,
mrn_0006,8,contribution public de l electricite cspe,Contribution au Service Public de l'Electricité (CSPE),6351,5.5,7010Z,,,,,,,
mrn_0007,8,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,707100,5.5,4631Z,,,,,,,
mrn_0008,7,banane fruit kg france,BANANE FRUIT 19 KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0009,7,ail vrac 10kg chine,AIL VRAC 10KG CHINE,707100,5.5,4631Z,,,,,,,
mrn_0010,7,gingembre kg perou,GINGEMBRE 13.6 KG PEROU,707100,5.5,4631Z,,,,,,,
mrn_0011,7,pomme de terre 5kg pdt france,POMME DE TERRE 5KG PDT FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0012,6,aubergine violette 5kg hollande,AUBERGINE VIOLETTE 5KG HOLLANDE,707100,5.5,4631Z,,,,,,,
mrn_0013,6,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,707100,5.5,4631Z,,,,,,,
mrn_0014,6,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,707100,5.5,4631Z,,,,,,,
mrn_0015,6,oignon jaune 5kg france,OIGNON JAUNE 5KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0016,6,gomboagrolulo 4kg espagne,GOMBOAGROLULO 4KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0017,6,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,70710000,5.5,4631Z,,,,,,,
mrn_0018,5,gingembre 5kg chine,GINGEMBRE 12.5KG CHINE,707100,5.5,4631Z,,,,,,,
mrn_0019,5,aubergine blanche 5kg espagne,AUBERGINE BLANCHE 5KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0020,5,tomate vrac belgique,TOMATE VRAC BELGIQUE,707100,5.5,4631Z,,,,,,,
mrn_0021,5,manioc kg tucano costa rica,MANIOC 18 KG TUCANO COSTA RICA,707100,5.5,4631Z,,,,,,,
mrn_0022,5,oignon rouge 5kg hollande,OIGNON ROUGE 5KG HOLLANDE,707100,5.5,4631Z,,,,,,,
mrn_0023,5,transaction exotica,Transaction EXOTICA,401,0.0,4631Z,,,,,,,
mrn_0024,4,manioc tucano costa rica,MANIOC TUCANO COSTA RICA,707100,5.5,4631Z,,,,,,,
mrn_0025,4,poivron vert 5kg pologne,POIVRON VERT 5KG POLOGNE,707100,5.5,4631Z,,,,,,,
mrn_0026,4,ail pelee 10x1kg chine,AIL PELEE 10X1kg CHINE,707100,5.5,4631Z,,,,,,,
mrn_0027,4,contribution tarifaire d acheminement cta,Contribution Tarifaire d'Acheminement (CTA),6351,5.5,7010Z,,,,,,,
mrn_0028,4,chou blanc 10kg pays bas,CHOU BLANC 10KG PAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0029,4,arachide frais 5kg togo,ARACHIDE FRAIS 5KG TOGO,707100,5.5,4631Z,,,,,,,
mrn_0030,4,piment antillais 4kg italie,PIMENT ANTILLAIS 4KG ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0031,4,oignon jaune 5kg hollande,OIGNON JAUNE 5KG HOLLANDE,707100,5.5,4631Z,,,,,,,
mrn_0032,4,tilapia moyen 2kg prodi chine,TILAPIA MOYEN 3.2KG PRODI CHINE,707100,5.5,4631Z,,,,,,,
mrn_0033,4,chou blanc 10kg france,CHOU BLANC 10KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0034,4,pimentantillais 3kg espagne,PIMENTANTILLAIS 3KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0035,3,igname puna 20kg ghana,IGNAME PUNA 20KG GHANA,707100,5.5,4631Z,,,,,,,
mrn_0036,3,tomate grappe belgique,TOMATE GRAPPE BELGIQUE,707100,5.5,4631Z,,,,,,,
mrn_0037,3,piment vert 4kg maroc,PIMENT VERT 4KG MAROC,707100,5.5,4631Z,,,,,,,
mrn_0038,3,madd frais cote d ivoire,MADD FRAIS COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0039,3,igname 20kg ghana,IGNAME 20kg GHANA,707100,5.5,4631Z,,,,,,,
mrn_0040,3,aubergine blanche 5kg france,AUBERGINE BLANCHE 5KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0041,3,concentre tomate grand rolli 12x880gr france,CONCENTRE TOMATE GRAND ROLLI 12X880GR FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0042,3,concentre tomate petit rolli 12x440gr france,CONCENTRE TOMATE PETIT ROLLI 12X440GR FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0043,3,aubergine blanche 10kg france,AUBERGINE BLANCHE 10KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0044,3,citron jaune espagne,CITRON JAUNE ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0045,3,aromes divers lions x senegal,AROMES DIVERS 3 LIONS X 12 SENEGAL,707100,5.5,4631Z,,,,,,,
mrn_0046,3,cola melange cote d ivoire,COLA MELANGE COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0047,3,transaction exotica cb,Transaction EXOTICA 78.61 CB,401,0.0,4631Z,,,,,,,
mrn_0048,2,gingembre 8kg perou,GINGEMBRE 8KG PEROU,707100,5.5,4631Z,,,,,,,
mrn_0049,2,poivron rouge 5kg pologne,POIVRON ROUGE 5KG POLOGNE,707100,5.5,4631Z,,,,,,,
mrn_0050,2,taxes sur la consommation finale d,Taxes sur la Consommation Finale d'Electricité (TCFE),6351,20.0,7010Z,,,,,,,
mrn_0051,2,concentre tomate petit dieg bou diar,CONCENTRE TOMATE PETIT DIEG BOU DIAR 12X400GR SENEGAL,707100,5.5,4631Z,,,,,,,
mrn_0052,2,aubergine violette 5kg belgique,AUBERGINE VIOLETTE 5KG BELGIQUE,707100,5.5,4631Z,,,,,,,
mrn_0053,2,datte fraiche israel,DATTE FRAICHE ISRAEL,707100,5.5,4631Z,,,,,,,
mrn_0054,2,kaolin 5kg cameroun,KAOLIN 5KG CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0055,2,magik chips x gr colombie,MAGIK CHIPS 20 X 85 GR COLOMBIE,707100,20.0,4631Z,,,,,,,
mrn_0056,2,moutarde forte dijona 12x370g france,MOUTARDE FORTE DIJONA 12X370G FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0057,2,arome liquide maggi 6x960ml pologne,AROME LIQUIDE MAGGI 6X960ML POLOGNE,707100,5.5,4631Z,,,,,,,
mrn_0058,2,eddoes tucano costa rica,EDDOES TUCANO COSTA RICA,707100,5.5,4631Z,,,,,,,
mrn_0059,2,bobolo sous vide 15x500gr cameroun,BOBOLO SOUS VIDE 15X500GR CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0060,2,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,707200,5.5,4631Z,,,,,,,
mrn_0061,2,feuille bissap frais 5kg togo,FEUILLE BISSAP FRAIS 5KG TOGO,707100,5.5,4631Z,,,,,,,
mrn_0062,2,chips plantain mixte n 20x85gr colombie,CHIPS PLANTAIN MIXTE N°1 20X85GR COLOMBIE,707100,5.5,4631Z,,,,,,,
mrn_0063,2,arachide frais 5kg benin,ARACHIDE FRAIS 5KG BENIN,707100,5.5,4631Z,,,,,,,
mrn_0064,2,arachide grille 24x300g togo,ARACHIDE GRILLE 24X300G TOGO,707100,5.5,4631Z,,,,,,,
mrn_0065,2,cive x14 cebette allemagne,CIVE X14 (CEBETTE) ALLEMAGNE,707100,5.5,4631Z,,,,,,,
mrn_0066,2,dorade entiere 5kg prodi portugal,DORADE ENTIERE 400/600 5KG PRODI PORTUGAL,707100,5.5,4631Z,,,,,,,
mrn_0067,2,pate arachide exo 5kg france,PATE ARACHIDE EXO 5KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0068,2,pate tamarin petit red dragon 227gr,PATE TAMARIN PETIT RED DRAGON 227GR THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0069,2,ginger beer 33l x angleterre,GINGER BEER 0.33L X 24 ANGLETERRE,70710000,5.5,4631Z,,,,,,,
mrn_0070,2,kola champagne 24x33cl trinite et tobago,KOLA CHAMPAGNE 24X33CL TRINITE-ET-TOBAGO,70710000,5.5,4631Z,,,,,,,
mrn_0071,2,vitamalt bouteille classic 24x33cl danemark,VITAMALT BOUTEILLE CLASSIC 24X33CL DANEMARK,70710000,5.5,4631Z,,,,,,,
mrn_0072,2,aubergine blanche 10kg france,AUBERGINE BLANCHE 10KG FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0073,2,banane fruit kg france,BANANE FRUIT 19 KG FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0074,2,citron vert bresil,CITRON VERT BRESIL,70710000,5.5,4631Z,,,,,,,
mrn_0075,2,gombo agrolulo 4kg espagne,GOMBO AGROLULO 4KG ESPAGNE,70710000,5.5,4631Z,,,,,,,
mrn_0076,2,oignon jaune 5kg france,OIGNON JAUNE 5KG FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0077,2,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,70710000,5.5,4631Z,,,,,,,
mrn_0078,2,tomate vrac belgique,TOMATE VRAC BELGIQUE,70710000,5.5,4631Z,,,,,,,
mrn_0079,2,courge butternut kg espagne,COURGE BUTTERNUT 10 KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0080,2,eddoes costa rica,EDDOES COSTA RICA,707100,5.5,4631Z,,,,,,,
mrn_0081,2,laurier 20x20gr spig france,LAURIER 20X20GR SPIG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0082,2,concombre france,CONCOMBRE FRANCE,707100,20.0,4631Z,,,,,,,
mrn_0083,2,poivre noir moulu 20x100gr spigol france,POIVRE NOIR MOULU 20X100GR (SPIGOL) FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0084,2,djakatou 10kg france,DJAKATOU 10KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0085,1,epinard frais 8kg france,EPINARD FRAIS 8KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0086,1,patate douce rouge 10kg afrique sud,PATATE DOUCE ROUGE 10KG AFRIQUE DU SUD,707100,5.5,4631Z,,,,,,,
mrn_0087,1,tomate grappe pays bas,TOMATE GRAPPE PAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0088,1,plantain 22k colombie,PLANTAIN 22K COLOMBIE,707100,5.5,4631Z,,,,,,,
mrn_0089,1,avocat kg republique dominicaine,AVOCAT 5.5 KG REPUBLIQUE DOMINICAINE,707100,5.5,4631Z,,,,,,,
mrn_0090,1,oubli sur fact202429700,OUBLI SUR FACT202429700,707100,20.0,4631Z,,,,,,,
mrn_0091,1,gingembre 10kg chine,GINGEMBRE 10KG CHINE,707100,5.5,4631Z,,,,,,,
mrn_0092,1,chikwangue sous vide x 500gr cameroun,CHIKWANGUE SOUS VIDE 40 X 500GR CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0093,1,biscuit x30p sri lanka,BISCUIT X30P SRI LANKA,707100,5.5,4631Z,,,,,,,
mrn_0094,1,takis 18x100g etats unis,TAKIS 18X100G ETATS-UNIS,707100,20.0,4631Z,,,,,,,
mrn_0095,1,nouilles yumyum boeuf thailande,NOUILLES YUMYUM BOEUF THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0096,1,avocat bresil,AVOCAT BRESIL,707100,5.5,4631Z,,,,,,,
mrn_0097,1,nouilles indomi 40x70g coree republique de,"NOUILLES INDOMI 40X70G COREE,REPUBLIQUE DE",707100,5.5,4631Z,,,,,,,
mrn_0098,1,jumbo pot poulet 10x1kg espagne,JUMBO POT POULET 10X1KG ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0099,1,jumbo ramadan espagne,JUMBO RAMADAN 100+15% ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0100,1,flocon d avoine quaker 24x500 espagne,FLOCON D'AVOINE QUAKER 24X500 ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0101,1,contribution public de l electricite cspe,Contribution au Service Public de l'Electricité (CSPE),635800,20.0,7010Z,,,,,,,
mrn_0102,1,contribution tarifaire d acheminement cta,Contribution Tarifaire d'Acheminement (CTA),635800,5.5,7010Z,,,,,,,
mrn_0103,1,riz 20kg perleasie cambodge,RIZ 20KG PERLEASIE CAMBODGE,707100,5.5,4631Z,,,,,,,
mrn_0104,1,riz lotus kg thailande,RIZ LOTUS 20 KG THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0105,1,riz c1 20kg dragon thailande,RIZ C1 => 20KG DRAGON THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0106,1,riz c2 20kg dragon thailande,RIZ C2 => 20KG DRAGON THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0107,1,banane verte del monte equateur,BANANE VERTE DEL MONTE EQUATEUR,707200,5.5,4631Z,,,,,,,
mrn_0108,1,oignon jaune 5kg hollande,OIGNON JAUNE 5KG HOLLANDE,707200,5.5,4631Z,,,,,,,
mrn_0109,1,pomme de terre 5kg pdt france,POMME DE TERRE 5KG PDT FRANCE,707200,5.5,4631Z,,,,,,,
mrn_0110,1,oignon rouge 5kg hollande,OIGNON ROUGE 5KG HOLLANDE,707200,5.5,4631Z,,,,,,,
mrn_0111,1,huile de tournesol 3x5l ukraine,HUILE DE TOURNESOL 3X5L UKRAINE,707300,5.5,4631Z,,,,,,,
mrn_0112,1,igname puna 20kg ghana,IGNAME PUNA 20KG GHANA,707200,5.5,4631Z,,,,,,,
mrn_0113,1,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,707200,5.5,4631Z,,,,,,,
mrn_0114,1,manioc tucano costa rica,MANIOC TUCANO COSTA RICA,707200,5.5,4631Z,,,,,,,
mrn_0115,1,courbine nanka 10kg ws pologne,COURBINE NANKA 500/800 10KG (WS) POLOGNE,707400,5.5,4631Z,,,,,,,
mrn_0116,1,poisson chat congele 2kg exotica viet,POISSON CHAT CONGELE 3.2KG (EXOTICA) VIET,707400,5.5,4631Z,,,,,,,
mrn_0117,1,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,707200,5.5,4631Z,,,,,,,
mrn_0118,1,arachide poudre kahuet 10x1kg usa,ARACHIDE POUDRE KAHUET 10X1KG USA,707500,5.5,4631Z,,,,,,,
mrn_0119,1,the starling citron 12x400gr allemagne,THE STARLING CITRON 12X400GR ALLEMAGNE,707500,5.5,4631Z,,,,,,,
mrn_0120,1,bobolo sous vide 15x500gr cameroun,BOBOLO SOUS VIDE 15X500GR CAMEROUN,707500,5.5,4631Z,,,,,,,
mrn_0121,1,chikouang sous vide 30x500gr cameroun,CHIKOUANG SOUS VIDE 30X500GR CAMEROUN,707500,5.5,4631Z,,,,,,,
mrn_0122,1,adja 6x1kg senegal,ADJA 6X1KG SENEGAL,707500,5.5,4631Z,,,,,,,
mrn_0123,1,gombo agrolulo 5kg espagne,GOMBO AGROLULO 5KG ESPAGNE,707200,5.5,4631Z,,,,,,,
mrn_0124,1,pate d arachide exo 12x500gr france,PATE D'ARACHIDE EXO 12X500GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0125,1,pate d arachide pcd 12x500gr hollande,PATE D'ARACHIDE PCD 12X500GR HOLLANDE,707500,5.5,4631Z,,,,,,,
mrn_0126,1,pate d arachide exo jaune 12x500gr,PATE D'ARACHIDE EXO JAUNE 100% 12X500GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0127,1,beurre de cacahuete kahuet creamy x,BEURRE DE CACAHUETE KAHUET CREAMY 12 X 340 GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0128,1,beurre de cacahete kahuet crunchy x,BEURRE DE CACAHETE KAHUET CRUNCHY 12 X 340 GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0129,1,avocat kg semil republique dominicaine,AVOCAT 5.5 KG SEMIL 34 REPUBLIQUE DOMINICAINE,707200,5.5,4631Z,,,,,,,
mrn_0130,1,concombre france,CONCOMBRE FRANCE,707200,5.5,4631Z,,,,,,,
mrn_0131,1,farine de manioc foufou 12x1kg cameroun,FARINE DE MANIOC FOUFOU 12X1KG CAMEROUN,707500,5.5,4631Z,,,,,,,
mrn_0132,1,concentre tomate pelee petit 24x400g romabella,CONCENTRE TOMATE PELEE PETIT 24X400G (ROMABELLA) ITALIE,707500,5.5,4631Z,,,,,,,
mrn_0133,1,epinard hache x 795gr france,EPINARD HACHE 12 X 795GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0134,1,huile de tournesol 15x1l ukraine,HUILE DE TOURNESOL 15X1L UKRAINE,707300,5.5,4631Z,,,,,,,
mrn_0135,1,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,707200,5.5,4631Z,,,,,,,
mrn_0136,1,cive x14 cebette allemagne,CIVE X14 (CEBETTE) ALLEMAGNE,707200,5.5,4631Z,,,,,,,
mrn_0137,1,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,707200,5.5,4631Z,,,,,,,
mrn_0138,1,datte fraiche israel oubli sur facture,DATTE FRAICHE ISRAEL oubli sur facture 202431457,707100,5.5,4631Z,,,,,,,
mrn_0139,1,feuille epinard frais 5kg togo,FEUILLE EPINARD FRAIS 5KG TOGO,707100,5.5,4631Z,,,,,,,
mrn_0140,1,mangue avion egypte,MANGUE AVION EGYPTE,707100,5.5,4631Z,,,,,,,
mrn_0141,1,madd frais burkina faso,MADD FRAIS BURKINA FASO,707100,5.5,4631Z,,,,,,,
mrn_0142,1,poivre blanc moulu 20x100gr spigol france,POIVRE BLANC MOULU 20X100GR (SPIGOL) FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0143,1,epices poulet 20x100gr spig france,EPICES POULET 20X100GR SPIG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0144,1,muscade moulue 20x50gr spig france,MUSCADE MOULUE 20X50GR SPIG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0145,1,jus citron jaune 6x1l italie,JUS CITRON JAUNE 6X1L ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0146,1,jus citron vert 6x1l italie,JUS CITRON VERT 6X1L ITALIE,707100,5.5,4631Z,,,,,,,
