item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0001,21,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,6011,5.5,4631Z,,,,,,,
mrn_0002,14,aubergine blanche 5kg espagne,AUBERGINE BLANCHE 5KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0003,13,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,6011,5.5,4631Z,,,,,,,
mrn_0004,12,gingembre 10kg chine,GINGEMBRE 10KG CHINE,6011,5.5,4631Z,,,,,,,
mrn_0005,11,plantains jaune,PLANTAINS JAUNE,601,5.5,4941B,,,,,,,
mrn_0006,11,gingembre kg perou,GINGEMBRE 13.6 KG PEROU,6011,5.5,4631Z,,,,,,,
mrn_0007,11,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,601,5.5,4631Z,,,,,,,
mrn_0008,10,gombo,Gombo,601,5.5,4941B,,,,,,,
mrn_0009,10,citron vert bresil,CITRON VERT BRESIL,6011,5.5,4631Z,,,,,,,
mrn_0010,10,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,6011,5.5,4631Z,,,,,,,
mrn_0011,10,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,601,5.5,4631Z,,,,,,,
mrn_0012,9,piment,Piment,601,5.5,4941B,,,,,,,
mrn_0013,9,aubergine violette 5kg espagne,AUBERGINE VIOLETTE 5KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0014,9,chou blanc 10kg belgique,CHOU BLANC 10KG BELGIQUE,6011,5.5,4631Z,,,,,,,
mrn_0015,8,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0016,8,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,6011,5.5,4631Z,,,,,,,
mrn_0017,8,diakhato,Diakhato,601,5.5,4941B,,,,,,,
mrn_0018,8,arachide frais 5kg togo,ARACHIDE FRAIS 5KG TOGO,6011,5.5,4631Z,,,,,,,
mrn_0019,8,ail vrac 10kg chine,AIL VRAC 10KG CHINE,6011,5.5,4631Z,,,,,,,
mrn_0020,8,aubergine blanche 5kg espagne,AUBERGINE BLANCHE 5KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0021,7,tomate,TOMATE,601,0.0,4941B,,,,,,,
mrn_0022,7,aubergine ci,AUBERGINE CI,601,5.5,4941B,,,,,,,
